startstationname,num_start,num_end,diff
Frederick Douglass Blvd & W 115 St,2274,2260,-14
Perry St & Greenwich Ave,2266,2287,21
5 Ave & E 93 St,2266,2193,-73
W 35 St & Dyer Ave,2257,2174,-83
Franklin St & Dupont St,2254,2279,25
Fulton St & Adams St,2251,2325,74
Eastern Pkwy & Franklin Ave,2247,2210,-37
Pleasant Ave & E 116 St,2246,2255,9
3 Ave & Schermerhorn St,2235,2247,12
Riverside Dr & W 145 St,2230,2204,-26
Washington Pl & Broadway,2228,2241,13
W 26 St & 10 Ave,2219,2236,17
Berry St & N 8 St,2197,2211,14
Grand St & Havemeyer St,2195,2206,11
E 65 St & 2 Ave,2193,2156,-37
W 37 St & 5 Ave,2193,2074,-119
Fulton St & William St,2189,2218,29
E 47 St & 2 Ave,2183,2184,1
Bedford Ave & Bergen St,2174,2173,-1
Grand St & Greene St,2174,2176,2
McGuinness Blvd & Eagle St,2164,2215,51
Murray St & West St,2131,2206,75
Madison Ave & E 99 St,2128,2135,7
Hudson St & Reade St,2126,2145,19
W 45 St & 6 Ave,2125,2136,11
Lawrence St & Willoughby St,2098,2107,9
Broadway & W 38 St,2097,2079,-18
Avenue D & E 8 St,2088,2107,19
Madison St & Montgomery St,2076,2074,-2
Plaza St West & Flatbush Ave,2057,2050,-7
Division St & Bowery,2043,2100,57
Prospect Park West & 8 St,2042,2017,-25
St Nicholas Ave & W 137 St,2035,2030,-5
E 43 St & 2 Ave,2034,2037,3
Ditmars Blvd & 19 St,2023,2037,14
E 12 St & Ave C,2018,1984,-34
Suydam St & Knickerbocker Ave,2011,2022,11
Driggs Ave & N 9 St,2005,2049,44
Driggs Ave & Lorimer St,2004,2071,67
Clark St & Henry St,2003,1992,-11
W 52 St & 6 Ave,1998,1989,-9
E 47 St & 1 Ave,1991,1970,-21
Bus Slip & State St,1986,2030,44
E 5 St & Avenue C,1976,1981,5
W 44 St & 5 Ave,1974,2003,29
E 56 St & 3 Ave,1966,1915,-51
DeKalb Ave & Vanderbilt Ave,1952,1946,-6
Lafayette Ave & Fort Greene Pl,1947,1951,4
St. Nicholas Ave & W 126 St,1947,1937,-10
E 59 St & Madison Ave,1934,1896,-38
Graham Ave & Conselyea St,1934,1941,7
Delancey St & Eldridge St,1932,1943,11
Scholes St & Manhattan Ave,1931,1930,-1
E 63 St & 3 Ave,1930,1951,21
W 74 St & Columbus Ave,1926,1923,-3
W 84 St & Broadway,1913,1764,-149
W 87 St & Amsterdam Ave,1906,1904,-2
Huron St & Franklin St,1904,1948,44
Stanton St & Mangin St,1890,1902,12
E 47 St & Park Ave,1889,1838,-51
43 St & Broadway,1888,1878,-10
Catherine St & Monroe St,1888,1918,30
1 Ave & E 110 St,1879,1905,26
East End Ave & E 86 St,1875,1889,14
Bradhurst Ave & W 148 St,1868,1887,19
Bergen St & Smith St,1867,2095,228
Jay St & York St,1866,2054,188
India St & Manhattan Ave,1865,1902,37
E 16 St & Irving Pl,1863,1819,-44
Roebling St & N 4 St,1863,1868,5
E 53 St & Madison Ave,1859,1845,-14
Fulton St & Utica Ave,1853,1859,6
W 110 St & Amsterdam Ave,1839,1812,-27
6 Ave & Canal St,1835,1934,99
E 72 St & Park Ave,1832,1724,-108
Marcy Ave & Lafayette Ave,1828,1806,-22
E 76 St & Park Ave,1817,1727,-90
Washington Park,1812,1808,-4
W Broadway & Spring St,1810,1887,77
S 4 St & Rodney St,1810,1814,4
E 89 St & York Ave,1808,1761,-47
Vernon Blvd & 41 Rd,1799,1810,11
West End Ave & W 107 St,1796,1635,-161
Columbia St & Rivington St,1784,1808,24
Front St & Maiden Ln,1782,1806,24
27 St & Hunter St,1780,1780,0
Graham Ave & Grand St,1780,1815,35
E 41 St & Madison Ave,1780,1741,-39
3 Ave & E 72 St,1766,1550,-216
Market St & Cherry St,1764,1781,17
Court St & State St,1759,1777,18
St Nicholas Ave & Manhattan Ave,1750,1740,-10
Fulton St & Waverly Ave,1746,1761,15
E 81 St & 3 Ave,1742,1744,2
Duane St & Greenwich St,1730,1755,25
Front St & Jay St,1730,1782,52
Clinton Ave & Myrtle Ave,1729,1745,16
Lafayette Ave & St James Pl,1729,1675,-54
W 90 St & Amsterdam Ave,1728,1714,-14
E 84 St & Park Ave,1726,1623,-103
Barclay St & Church St,1722,1721,-1
Schermerhorn St & Bond St,1721,1740,19
E 82 St & East End Ave,1715,1706,-9
E 48 St & 3 Ave,1704,1694,-10
Nassau Ave & Russell St,1699,1732,33
Bergen St & Vanderbilt Ave,1694,1715,21
St James Pl & Oliver St,1694,1716,22
Hicks St & Montague St,1681,1676,-5
31 St & 23 Ave,1680,1677,-3
DeKalb Ave & Franklin Ave,1672,1677,5
Lenox Ave & W 115 St,1668,1664,-4
Madison Ave & E 82 St,1668,1661,-7
India St & West St,1660,1671,11
Adam Clayton Powell Blvd & W 126 St,1660,1670,10
E 85 St & York Ave,1657,1560,-97
E 68 St & 3 Ave,1652,1510,-142
John St & William St,1650,1664,14
31 St & Newtown Ave,1649,1644,-5
W 100 St & Manhattan Ave,1643,1639,-4
Vernon Blvd & 10 St,1643,1656,13
Underhill Ave & Lincoln Pl,1641,1647,6
Amsterdam Ave & W 125 St,1640,1575,-65
Duffield St & Willoughby St,1638,1649,11
Driggs Ave & N Henry St,1637,1638,1
Kingston Ave & Herkimer St,1633,1657,24
Avenue D & E 12 St,1625,1617,-8
Pershing Square South,1620,1610,-10
Lenox Ave & W 130 St,1619,1634,15
W 52 St & 5 Ave,1613,1633,20
Johnson St & Gold St,1610,1630,20
Park Pl & Vanderbilt Ave,1607,1580,-27
E 118 St & 3 Ave,1606,1609,3
E 66 St & Madison Ave,1604,1566,-38
Dean St & Franklin Ave,1600,1601,1
Lenox Ave & W 117 St,1599,1614,15
E 78 St & 2 Ave,1594,1541,-53
31 Ave & 34 St,1591,1583,-8
Broadway & W 51 St,1590,1616,26
Willoughby St & Fleet St,1588,1589,1
31 St & Broadway,1581,1576,-5
Henry St & Atlantic Ave,1577,1574,-3
2 Ave & E 104 St,1565,1539,-26
3 Ave & E 71 St,1563,1467,-96
Metropolitan Ave & Meeker Ave,1561,1610,49
Vernon Blvd & 47 Rd,1558,1557,-1
Halsey St & Tompkins Ave,1557,1558,1
7 Ave & Park Pl,1547,1547,0
Central Park West & W 102 St,1537,1453,-84
Franklin St & W Broadway,1535,1533,-2
Devoe St & Lorimer St,1534,1548,14
Congress St & Clinton St,1531,1582,51
Leonard St & Maujer St,1530,1522,-8
Lafayette Ave & Classon Ave,1529,1513,-16
E 75 St & 3 Ave,1519,1535,16
Vernon Blvd & 50 Ave,1513,1508,-5
Broadway & Roebling St,1509,1518,9
Meserole Ave & Manhattan Ave,1506,1533,27
Rogers Ave & Sterling St,1504,1522,18
Emerson Pl & Myrtle Ave,1500,1510,10
E 68 St & Madison Ave,1500,1232,-268
W 92 St & Broadway,1499,1481,-18
Cumberland St & Lafayette Ave,1499,1490,-9
Steinway St & 28 Ave,1492,1482,-10
Dean St & 4 Ave,1487,1575,88
5 Ave & 3 St,1484,1537,53
West End Ave & W 78 St,1482,1493,11
Willoughby Ave & Tompkins Ave,1481,1482,1
Broadway & W 36 St,1478,1418,-60
Montague St & Clinton St,1478,1514,36
36 Ave & 10 St,1476,1487,11
Montrose Ave & Bushwick Ave,1476,1459,-17
Amsterdam Ave & W 66 St,1473,1463,-10
Mt Morris Park W & W 120 St,1462,1458,-4
Lewis Ave & Madison St,1460,1457,-3
Myrtle Ave & St Edwards St,1458,1469,11
E 103 St & Lexington Ave,1453,1464,11
Cadman Plaza E & Johnson St,1452,1472,20
W 106 St & Amsterdam Ave,1447,1429,-18
2 Ave & E 99 St,1445,1391,-54
Sterling Pl & Bedford Ave,1435,1430,-5
E 60 St & York Ave,1427,1396,-31
E 106 St & 1 Ave,1423,1443,20
Lexington Ave & Classon Ave,1420,1405,-15
DeKalb Ave & Hudson Ave,1415,1659,244
